,abhlth,abrape,conmedic,marital,childs
0,yes,yes,,never married,2.0
1,yes,yes,,married,0.0
2,yes,yes,,married,0.0
3,yes,yes,,married,0.0
4,yes,yes,,married,0.0
5,yes,yes,,never married,3.0
6,yes,yes,,divorced,3.0
7,yes,yes,,never married,4.0
8,yes,,,never married,0.0
9,yes,yes,,married,2.0
10,,,,married,4.0
11,no,no,,married,0.0
12,no,,,married,7.0
13,yes,yes,,divorced,1.0
14,yes,no,,married,0.0
15,yes,yes,,married,0.0
16,yes,no,,married,0.0
17,yes,yes,,married,3.0
18,yes,yes,,married,3.0
19,yes,yes,,never married,1.0
20,yes,yes,,married,2.0
21,yes,yes,,married,0.0
22,yes,yes,,married,2.0
23,yes,yes,,married,0.0
24,yes,yes,,married,3.0
25,no,yes,,married,0.0
26,yes,yes,,married,0.0
27,yes,yes,,married,6.0
28,yes,no,,married,6.0
29,yes,no,,married,2.0
30,yes,,,married,2.0
31,yes,yes,,married,1.0
32,yes,yes,,never married,0.0
33,no,no,,married,2.0
34,yes,no,,married,2.0
35,yes,yes,,married,3.0
36,yes,yes,,married,2.0
37,yes,yes,,married,2.0
38,yes,yes,,never married,3.0
39,yes,yes,,married,4.0
40,yes,yes,,widowed,0.0
41,no,yes,,married,7.0
42,yes,no,,married,5.0
43,yes,yes,,married,2.0
44,yes,yes,,married,0.0
45,yes,yes,,married,0.0
46,yes,yes,,never married,2.0
47,yes,yes,,married,2.0
48,yes,no,,married,2.0
49,yes,no,,married,2.0
50,yes,yes,,married,1.0
51,no,no,,married,0.0
52,yes,yes,,married,4.0
53,yes,yes,,married,0.0
54,yes,yes,,married,4.0
55,yes,yes,,married,1.0
56,yes,yes,,married,0.0
57,yes,no,,married,2.0
58,yes,yes,,married,4.0
59,yes,yes,,married,0.0
60,yes,yes,,married,2.0
61,yes,yes,,married,3.0
62,yes,yes,,married,2.0
63,yes,yes,,married,0.0
64,yes,yes,,married,1.0
65,yes,yes,,married,6.0
66,yes,yes,,married,0.0
67,yes,yes,,married,2.0
68,yes,yes,,never married,2.0
69,yes,yes,,married,3.0
70,yes,yes,,married,0.0
71,yes,yes,,married,0.0
72,yes,yes,,married,1.0
73,yes,yes,,married,2.0
74,yes,yes,,never married,0.0
75,yes,yes,,never married,0.0
76,yes,yes,,married,1.0
77,yes,yes,,widowed,4.0
78,no,yes,,never married,7.0
79,,yes,,never married,2.0
80,yes,yes,,married,3.0
81,yes,yes,,married,2.0
82,yes,yes,,divorced,0.0
83,yes,yes,,married,1.0
