category,name,label,response,breakdown,breakdown_category,year,percent,std_err
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1977,36.72,1.75
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1978,32.99,1.94
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1980,39.2,1.72
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1982,40.46,1.94
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1983,32.15,1.63
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1984,37.14,1.96
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1985,38.3,1.9
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1987,39.18,1.78
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1988,35.42,1.84
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1989,38.53,1.8
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1990,41.58,1.8
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1991,39.54,1.86
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1993,42.06,1.81
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1994,44.48,1.48
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1996,41.76,1.63
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,1998,37.3,1.42
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2000,36.25,1.7
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2002,39.86,1.99
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2004,36.92,1.92
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2006,38.13,1.4
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2008,39.92,1.54
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2010,41.56,2.03
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2012,41.31,1.73
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2014,43.81,1.54
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2016,44.59,1.38
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2018,48.1,2.14
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2021,53.58,1.73
Current Affairs,abany,Abortion if woman wants for any reason,Yes,Total,Total,2022,55.16,2.44
