category,name,label,response,breakdown,breakdown_category,year,percent,std_err
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1972,76.16,
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1973,81.07,
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1974,82.38,
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1975,79.89,1.33
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1976,81.06,1.26
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1977,81.37,1.47
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1978,79.91,1.37
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1980,79.88,1.62
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1982,84.99,1.21
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1983,77.7,1.46
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1984,76.63,1.57
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1985,78.66,1.5
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1987,77.33,1.37
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1988,77.37,1.58
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1989,79.95,1.58
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1990,81.88,1.51
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1991,81.91,1.42
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1993,79.3,1.45
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1994,80.97,1.2
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1996,79.99,1.19
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,1998,76.05,1.43
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2000,75.05,1.31
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2002,75.87,1.78
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2004,72.25,2.26
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2006,74.4,0.98
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2008,71.93,1.84
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2010,77.52,1.92
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2012,71.59,1.71
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2014,75.01,1.31
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2016,76.4,1.11
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2018,74.96,1.74
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2021,83.45,1.23
Current Affairs,abrape,Abortion if pregnant as result of rape,Yes,Total,Total,2022,83.13,1.98
