abhlth,abrape,conmedic,abimp,marital,childs
yes,yes,,,never married,0.0
yes,yes,,,married,5.0
yes,yes,,,married,4.0
yes,yes,,,married,0.0
yes,yes,,,married,2.0
yes,yes,,,never married,0.0
yes,yes,,,divorced,2.0
yes,yes,,,never married,0.0
yes,,,,never married,2.0
yes,yes,,,married,4.0
,,,,married,1.0
no,no,,,married,5.0
no,,,,married,1.0
yes,yes,,,divorced,2.0
yes,no,,,married,5.0
yes,yes,,,married,2.0
yes,no,,,married,2.0
yes,yes,,,married,3.0
yes,yes,,,married,3.0
yes,yes,,,never married,0.0
yes,yes,,,married,2.0
yes,yes,,,married,2.0
yes,yes,,,married,0.0
yes,yes,,,married,1.0
yes,yes,,,married,0.0
no,yes,,,married,2.0
yes,yes,,,married,2.0
yes,yes,,,married,2.0
yes,no,,,married,0.0
yes,no,,,married,2.0
yes,,,,married,2.0
yes,yes,,,married,1.0
yes,yes,,,never married,0.0
no,no,,,married,5.0
yes,no,,,married,1.0
yes,yes,,,married,2.0
yes,yes,,,married,2.0
yes,yes,,,married,1.0
yes,yes,,,never married,0.0
yes,yes,,,married,2.0
yes,yes,,,widowed,2.0
no,yes,,,married,2.0
yes,no,,,married,2.0
yes,yes,,,married,0.0
yes,yes,,,married,4.0
yes,yes,,,married,0.0
yes,yes,,,never married,0.0
yes,yes,,,married,4.0
yes,no,,,married,4.0
yes,no,,,married,4.0
yes,yes,,,married,3.0
no,no,,,married,5.0
yes,yes,,,married,2.0
yes,yes,,,married,1.0
yes,yes,,,married,5.0
yes,yes,,,married,5.0
yes,yes,,,married,3.0
yes,no,,,married,0.0
yes,yes,,,married,3.0
yes,yes,,,married,4.0
yes,yes,,,married,1.0
yes,yes,,,married,1.0
yes,yes,,,married,5.0
yes,yes,,,married,6.0
yes,yes,,,married,4.0
yes,yes,,,married,2.0
yes,yes,,,married,2.0
yes,yes,,,married,0.0
yes,yes,,,never married,0.0
yes,yes,,,married,0.0
yes,yes,,,married,1.0
yes,yes,,,married,2.0
yes,yes,,,married,2.0
yes,yes,,,married,1.0
yes,yes,,,never married,0.0
yes,yes,,,never married,0.0
yes,yes,,,married,1.0
yes,yes,,,widowed,1.0
no,yes,,,never married,1.0
,yes,,,never married,0.0
yes,yes,,,married,5.0
yes,yes,,,married,2.0
yes,yes,,,divorced,0.0
yes,yes,,,married,2.0
yes,yes,,,never married,0.0
yes,yes,,,married,0.0
yes,yes,,,married,0.0
yes,yes,,,never married,0.0
yes,yes,,,married,0.0
yes,yes,,,never married,0.0
yes,yes,,,married,0.0
yes,yes,,,married,2.0
no,no,,,married,3.0
yes,yes,,,married,3.0
yes,yes,,,married,2.0
yes,yes,,,married,3.0
yes,yes,,,married,3.0
yes,yes,,,married,2.0
yes,yes,,,married,2.0
yes,yes,,,married,2.0
yes,yes,,,married,1.0
yes,no,,,married,3.0
yes,yes,,,married,4.0
no,no,,,married,1.0
